"Avg_mode_power","Star Rating Index"
140,"3.169606505914303"
140,"3.169606505914303"
205,"2.8604297813769004"
205,"2.8604297813769004"
237,"3.4400576356692643"
28.33,"5.409034620500062"
38.85,"6.080700583060862"
28.1,"3.44650912314627"
113,"4.123905176605657"
148,"2.5062783445651067"
148,"2.5062783445651067"
47.3,"5.3693943713016585"
169.26,"4.517660502557614"
169.26,"4.517660502557614"
65,"4.553267260591147"
180,"3.0183281239547997"
180,"3.0183281239547997"
69,"4.285387548332183"
91,"5.088069894655924"
85,"4.5831222380335825"
116,"5.401243988893101"
154,"5.363765317705205"
71,"5.380181735077315"
36.4,"7.087207125920074"
36.4,"7.087207125920074"
36.4,"7.087207125920074"
92.8,"4.517170337322163"
66.49,"5.087619010444134"
35.8,"6.022503316218213"
182,"4.618566592645355"
53.2,"5.029236682652613"
64.01,"5.43282096913457"
109.86,"6.451213523728212"
195,"3.8874113908802133"
195,"3.8874113908802133"
72.81,"6.118158093653914"
94.36,"5.9015496015140485"
18.4,"5.067844048828729"
20.12,"5.053262883445185"
77,"5.828204631649972"
138,"5.857093446876125"
16.1569,"5.185512454710998"
120,"5.256335563565565"
156,"4.076463412951497"
100.64,"6.045013280653004"
103.61,"4.511450751759631"
98.45,"4.740698529701904"
109.48,"5.661155248126301"
78,"4.971755359043742"
101,"4.630644483160877"
118,"5.328204093107946"
40,"6.082256469696936"
40,"6.082256469696936"
95.274,"6.0693688847202"
95.274,"6.0693688847202"
15.12,"5.065515602883841"
32.7,"5.025863763302918"
70,"4.177359090775439"
84,"4.595568072425353"
57.6,"4.506395613917393"
100.2,"4.292298502011051"
47.23,"5.51068390027356"
47.23,"5.51068390027356"
47.23,"5.51068390027356"
47.23,"5.51068390027356"
50.6,"6.371851645208939"
50.6,"6.371851645208939"
50.6,"6.371851645208939"
50.6,"6.371851645208939"
50.6,"6.371851645208939"
53.64,"6.453747698931702"
53.64,"6.453747698931702"
53.64,"6.453747698931702"
53.64,"6.453747698931702"
65.21,"6.483384094694954"
65.21,"6.483384094694954"
65.21,"6.483384094694954"
65.21,"6.483384094694954"
65.21,"6.483384094694954"
74.9,"6.41491902321079"
53.64,"6.453747698931702"
27.42,"6.138131023338002"
34.7,"4.981909663301017"
46.99,"5.755151456846737"
46.11,"7.266401600734831"
57.97,"7.096438562106976"
100.78,"6.0328849373430415"
153.24,"5.388004753545411"
47.23,"5.51068390027356"
161.64,"5.151965446941944"
34.52,"6.025786528657009"
34.52,"6.025786528657009"
34.52,"6.025786528657009"
34.52,"6.025786528657009"
34.52,"6.025786528657009"
115,"4.053423000980519"
144,"4.439276071054277"
34.52,"6.025786528657009"
34.52,"6.025786528657009"
113,"5.50774202403524"
51.49,"5.580525627381117"
227.32,"3.6298065505640733"
120,"5.256335563565565"
158,"5.25139078204"
158,"5.25139078204"
184,"5.765807692130701"
184,"5.765807692130701"
76,"4.753473125119566"
86,"5.349732478648492"
86,"5.349732478648492"
102,"4.582585898004297"
95,"4.904594324171205"
95,"4.904594324171205"
107,"5.762579702720538"
107,"5.762579702720538"
126,"5.037686340309588"
112,"5.561885564963837"
112,"5.561885564963837"
140,"6.037976930458328"
140,"6.037976930458328"
179,"5.569202635476063"
179,"5.569202635476063"
42.3,"6.2175519584591425"
160,"3.6489006861400743"
63,"4.527878970799845"
63,"4.527878970799845"
77,"4.689905816504032"
77,"4.689905816504032"
75,"3.9307399679175017"
75,"3.9307399679175017"
77,"3.8026906818154727"
90,"4.332542803819169"
90,"4.332542803819169"
80,"4.8485470457482105"
80,"4.8485470457482105"
78,"4.971755359043742"
114,"4.08539521829021"
114,"4.08539521829021"
94,"4.9432830834647525"
94,"4.9432830834647525"
98,"4.765526405493008"
144,"4.439276071054277"
144,"4.439276071054277"
118,"5.328204093107946"
118,"5.328204093107946"
148,"4.313737886945033"
181,"4.644281538618003"
181,"4.644281538618003"
134,"5.981072460590566"
134,"5.981072460590566"
172,"4.873081208156259"
250,"4.395864655180622"
250,"4.395864655180622"
250,"4.395864655180622"
214.72,"4.504860044520296"
114,"4.08539521829021"
114,"4.08539521829021"
114,"4.08539521829021"
157,"5.277816565063631"
157,"5.277816565063631"
157,"5.277816565063631"
202,"5.241160861305282"
202,"5.241160861305282"
202,"5.241160861305282"
104,"5.280728755120342"
119,"5.286995341885052"
119,"5.286995341885052"
119,"5.286995341885052"
119,"5.286995341885052"
167,"4.998815559326946"
167,"4.998815559326946"
167,"4.998815559326946"
212,"3.9363810276760227"
212,"3.9363810276760227"
212,"3.9363810276760227"
105.9,"4.0428160845075745"
75,"3.9307399679175017"
75,"3.9307399679175017"
90,"4.332542803819169"
90,"4.332542803819169"
97,"4.803028047916603"
