"Avg_mode_power","Screen_Size_Extracted"
35.18,"40"
35.97,"43"
35.97,"43"
35.97,"43"
35.97,"43"
35.97,"43"
35.97,"43"
35.97,"43"
188.97,"750"
76.044,"55"
31.814,"32"
126,"58"
59.47,"50"
35.4,"320"
198,"65"
94,"50"
113,"55"
94.43,"55"
94.43,"55"
73,"43"
119,"65"
157,"75"
79.33,"58"
51.12,"43"
67.75,"50"
63.89,"55"
82.49,"65"
61.3,"50"
61.3,"50"
127.69,"75"
127.69,"75"
180.5,"85"
223.7,"85"
72.57,"55"
72.57,"55"
77,"43"
93,"50"
114,"55"
145,"65"
165,"75"
63,"42"
63,"42"
77,"48"
77,"48"
95,"55"
95,"55"
16.3,"24"
16.3,"24"
16.3,"24"
16.3,"24"
16.3,"24"
16.3,"24"
93.43,"65"
56,"43"
64.17,"50"
93.65,"65"
77.67,"55"
118.27,"75"
56,"43"
80.28,"50"
120.81,"65"
160.49,"75"
77,"50"
18,"242"
18,"242"
18,"242"
200.76,"85"
23.798,"322"
25.8,"32"
32,"39"
32,"39"
32,"39"
32,"39"
32,"39"
32,"39"
78,"50"
80,"55"
115,"65"
35.9,"40"
35.9,"40"
35.9,"40"
35.9,"40"
35.9,"40"
35.9,"40"
140,"75"
38.3,"42"
38.3,"42"
38.3,"42"
38.3,"42"
38.3,"42"
38.3,"42"
39.5,"43"
39.5,"43"
39.5,"43"
39.5,"43"
39.5,"43"
39.5,"43"
171.2,"65"
201,"75"
127.7,"75"
270,"860"
92.3,"55"
92.3,"55"
115.68,"65"
115.68,"65"
148.69,"75"
148.69,"75"
214.94,"85"
214.94,"85"
25.32,"32"
32.9,"40"
438,"98"
438,"98"
438,"98"
92.3,"55"
115.68,"65"
148.69,"75"
214.94,"85"
70,"43"
80,"50"
87,"55"
117,"65"
183,"75"
40,"40"
40,"40"
97.96,"55"
35.47,"32"
50.44,"43"
34.7106,"40"
34.7106,"40"
102,"55"
102,"55"
126,"65"
126,"65"
156,"77"
156,"77"
63,"42"
63,"42"
73,"50"
94,"55"
114,"65"
130,"75"
100.2,"55"
35.2,"32"
105.46,"55"
180,"65"
128.4,"65"
146.3,"70"
205.62,"55"
251.06,"65"
50.6,"50"
53.64,"55"
99.95,"65"
26.4498,"32"
26.4498,"32"
17.1498,"24"
17.1498,"24"
219,"97"
219,"97"
17.74,"185"
17.74,"185"
24.81,"215"
24.81,"215"
26.67,"238"
26.67,"238"
97.8,"70"
93.324,"550"
115.84,"55"
115.84,"55"
159.55,"65"
159.55,"65"
25.8,"32"
35.9,"40"
106.68,"55"
24.81,"215"
98.268,"227"
31.9,"323"
31.9,"32"
115.84,"55"
36.7,"40"
124.968,"657"
124.968,"65"
102,"557"
102,"55"
102,
73,"437"
159.55,"65"
14,"24"
214.416,"98"
59.7,"502"
50.5,"400"
30,"32"
228.91,"75"
124.968,"650"
53.64,"55"
70,"55"
87,"65"
72.1,"22"
94.8,"22"
36.27,"40"
90.1,"55"
113.4,"65"
243.11,"75"
78.58,"55"
92.33,"65"
168.67,"65"
108.3,"65"
256.93,"98"
256.93,"98"
256.93,"98"
170.6,"82"
38.46,"32"
38.46,
31.98,"24"
175.6,"22"
128.1,"22"
90.1,"55"
113.4,"65"
49.7,"65"
41.8,"55"
75,"43"
90,"50"
114,"55"
148,"65"
165,"75"
250,"86"
46.6632,"43"
62.5,"55"
53.8,"50"
80.7,"60"
25,"240"
32.18,"32"
32.18,"320"
32.18,"320"
32.18,"320"
32.18,"320"
32.18,"320"
28.2,"32"
133,"75"
28,"32"
56.1,"58"
74.7,"502"
73.9,"552"
114.8,"652"
175.4,"752"
237.5,"518"
108.1,"75"
259.3,"750"
30.28,"24"
30.28,"240"
30.28,"240"
